,D0V1,D0V2,D0V3,D0V4,D0V5,D0V6,D10S1,D10S2,D10S3,D10S4,D10S5,D10S6,D10SBd1,D10SBd2,D10SBd3,D10SBd4,D10SBd5,D10SBd6,D10V1,D10V3,D10V4,D10V5,D10V6,D10V7,D10VBd1,D10VBd2,D10VBd3,D10VBd4,D10VBd5,D10VBd6,D21S10,D21S11,D21S5,D21S7,D21S8,D21S9,D21SBd12,D21SBd13,D21SBd14,D21SBd7,D21SBd8,D21SBd9,D21V11,D21V12,D21V13,D21V14,D21V16,D21V7,D21VBd11,D21VBd13,D21VBd14,D21VBd7,D21VBd9
ASV101,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,569,0,0,50,0,0,0,0,0,0,0,0,12,251,0,0,125,0,0,0,0
ASV102,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,18,14,58,896,0
ASV103,0,0,0,0,0,0,46,27,84,0,0,0,0,0,0,0,0,0,202,0,12,0,0,0,0,0,0,0,0,0,20,43,37,125,258,5,0,0,11,0,0,0,5,288,0,0,20,0,0,0,0,0,0
ASV104,0,0,0,0,0,0,0,0,9,0,0,0,0,12,0,14,0,0,116,0,0,0,0,0,0,0,7,0,0,0,0,0,302,34,11,0,47,0,0,41,184,48,0,244,0,0,41,0,0,0,24,22,9
ASV105,0,0,0,0,0,0,36,46,51,8,0,35,59,0,33,33,135,16,0,0,0,0,0,0,0,26,200,0,0,0,28,14,163,17,69,0,0,0,0,0,49,75,0,0,0,0,20,0,0,21,19,0,0
ASV106,0,0,0,0,0,0,191,232,237,6,104,199,0,0,0,0,0,0,73,0,0,0,75,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV107,0,0,0,0,0,0,25,24,26,0,24,0,0,0,0,0,15,0,29,0,0,0,0,0,62,105,121,0,0,0,39,0,113,43,86,25,35,0,0,11,51,93,0,0,0,0,30,30,0,0,20,64,0
ASV108,27,0,0,0,0,0,137,58,70,65,30,372,0,0,0,0,0,0,86,0,0,9,0,0,0,0,0,0,0,0,68,0,48,27,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,132,9,0,0,0,0,0,0,57,76,417,0,79,52,0,0,0,0,0,0,0,73,0,0,0,13,0,0,0,0,0
ASV111,0,0,0,77,39,64,56,20,0,0,73,0,38,16,8,31,0,0,0,21,0,44,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,31,39,42,0,0,47,73,0,46,53,0,0,0,94
